class,lenght
142,5
123,4
153,6
148,5
161,6
182,5
73,9
38,12
88,6
144,4
84,6
96,8
89,6
35,5
90,8
158,10
51,4
85,10
66,7
76,5
173,4
97,3
174,4
25,4
138,4
122,2
116,8
95,10
52,11
37,3
162,6
156,8
167,2
109,6
165,3
121,4
170,9
28,6
86,7
124,3
27,1
126,5
129,7
26,6
120,5
64,3
60,2
196,3
133,5
29,5
56,6
36,4
186,6
7,13
2,7
49,2
70,5
65,4
42,9
108,5
102,8
4,9
32,5
3,9
183,8
20,8
114,5
140,4
187,6
105,6
157,9
91,5
81,14
12,5
103,6
59,7
127,9
41,4
185,9
163,5
78,3
175,5
14,6
107,5
132,8
31,6
110,3
117,5
9,2
184,6
62,4
128,5
178,4
57,2
166,3
54,5
83,4
10,6
13,5
171,8
48,4
39,6
190,11
16,6
34,4
1,8
92,7
71,9
99,5
18,7
61,6
33,5
19,6
112,7
147,3
141,5
50,5
100,9
101,7
44,3
177,6
15,6
82,5
40,3
136,4
93,5
68,6
195,5
98,10
11,5
21,3
104,4
106,6
113,5
69,4
139,1
159,4
192,5
164,5
118,5
63,8
194,1
131,6
172,6
45,6
149,5
80,4
125,3
193,5
55,2
79,3
169,4
188,6
75,4
181,1
180,7
74,3
135,3
30,5
189,4
152,2
137,2
87,5
43,7
151,4
67,2
94,4
22,1
17,2
72,5
8,5
130,6
6,5
145,3
154,4
47,7
134,6
168,3
155,8
143,2
77,5
111,4
146,1
58,3
53,7
160,2
191,1
119,2
5,3
24,3
23,2
150,1
